National Life Group,,10,3,30%,Financial Services,Vermont,Montpelier
NATIONAL OILWELL VARCO INC,,8,1,13%,Energy,Texas,HOUSTON
NATIONAL PRESTO INDUSTRIES INC,,5,1,20%,Industrials,Wisconsin,EAU CLAIRE
NATIONAL RESEARCH CORP,,6,2,33%,,,LINCOLN
NATIONAL RETAIL PROPERTIES INC.,,9,1,11%,Real Estate,Florida,ORLANDO
National Storage Affiliates Trust,,8,0,0%,,,GREENWOOD VILLAGE
National Western Life Group Inc.,,9,2,22%,,,AUSTIN
Nationstar Mortgage Holdings Inc.,,5,0,0%,Financial Services,Texas,COPPELL
Nationwide Mutual Insurance Company,,17,4,24%,Financial Services,Ohio,Columbus
NATURAL GAS SERVICES GROUP INC,,5,0,0%,,,MIDLAND
Natural Grocers by Vitamin Cottage Inc.,,7,2,29%,,,LAKEWOOD
NATURAL HEALTH TRENDS CORP,,5,0,0%,,,ROLLING HILLS ESTATES
NATURES SUNSHINE PRODUCTS INC,,9,3,33%,,,LEHI
NATUS MEDICAL INC,,6,2,33%,Healthcare,California,PLEASANTON
NAUTILUS INC.,,6,1,17%,,,VANCOUVER
NAVIENT CORP,,11,6,55%,Financial Services,Delaware,WILMINGTON
NAVIGANT CONSULTING INC,,8,2,25%,,,CHICAGO
NAVIGATORS GROUP INC,,10,3,30%,,,STAMFORD
NAVIOS MARITIME ACQUISITION CORP,,6,3,50%,,,MONACO
NAVISTAR INTERNATIONAL CORP,,10,0,0%,Industrials,Illinois,LISLE
NBT BANCORP INC,,13,1,8%,,,NORWICH
NCI BUILDING SYSTEMS INC,,11,1,9%,,,HOUSTON
NCI Inc.,,7,1,14%,Technology,Virginia,RESTON
NCR CORP,,9,1,11%,Technology,Georgia,DULUTH
NCS Multistage Holdings Inc.,,9,0,0%,,,HOUSTON
Neenah Paper Inc,,8,1,13%,,,ALPHARETTA
Neff Corp,,6,0,0%,,,MIAMI
Neiman Marcus Group LTD Inc.,,9,2,22%,Consumer Cyclical,Texas,Dallas
NEKTAR THERAPEUTICS,,8,0,0%,Healthcare,California,SAN FRANCISCO
NELNET INC,,9,2,22%,,,LINCOLN
NEOGEN CORP,,9,0,0%,,,LANSING
NEOGENOMICS INC,,9,2,22%,,,FORT MYERS
NEOPHOTONICS CORP,,7,0,0%,Technology,California,SAN JOSE
Neos Therapeutics Inc.,,7,1,14%,,,GRAND PRAIRIE
NetApp Inc.,,10,1,10%,Technology,California,SUNNYVALE
NETFLIX INC,,9,3,33%,Communication Services,California,LOS GATOS
NETGEAR INC,,9,3,33%,Technology,California,SAN JOSE
NETSCOUT SYSTEMS INC,,8,0,0%,Technology,Massachusetts,WESTFORD
Netsuite Inc.,,9,2,22%,Technology,California,San Mateo
Neuralstem Inc.,,7,1,14%,Healthcare,Maryland,Germantown
NEUROCRINE BIOSCIENCES INC,,9,1,11%,Healthcare,California,SAN DIEGO
NEUSTAR INC,,10,3,30%,Communication Services,Virginia,STERLING
NEVRO CORP,,8,1,13%,,,REDWOOD CITY
New Home Co Inc.,,11,2,18%,,,ALISO VIEJO
NEW JERSEY RESOURCES CORP,,11,2,18%,Utilities,New Jersey,WALL
New Media Investment Group Inc.,,5,0,0%,,,NEW YORK
NEW RELIC INC,,7,1,14%,,,SAN FRANCISCO
New Residential Investment Corp.,,7,0,0%,,,NEW YORK
New Senior Investment Group Inc.,,7,2,29%,,,NEW YORK
New Ulm Telecom Inc.,,7,2,29%,Communication Services,Minnesota,New Ulm
NEW YORK COMMUNITY BANCORP INC,,12,2,17%,Financial Services,New York,WESTBURY
New York Life Insurance,,12,3,25%,Financial Services,New York,New York
NEW YORK MORTGAGE TRUST INC,,6,0,0%,,,NEW YORK CITY
NEW YORK TIMES CO,,13,2,15%,Consumer Cyclical,New York,NEW YORK
NEWELL BRANDS INC,,12,1,8%,Consumer Defensive,Georgia,HOBOKEN
NEWFIELD EXPLORATION CO /DE/,,9,2,22%,Energy,Texas,THE WOODLANDS
NEWLINK GENETICS CORP,,8,1,13%,,,AMES
NEWMARKET CORP,,7,1,14%,Basic Materials,Virginia,RICHMOND
Newmont Mining Corporation,,10,3,30%,Basic Materials,Colorado,GREENWOOD VILLAGE
NEWPARK RESOURCES INC,,6,0,0%,,,THE WOODLANDS
NEWS CORP,,11,3,27%,Consumer Cyclical,New York,NEW YORK
NewStar Financial Inc.,,7,1,14%,,,BOSTON
NEXEO SOLUTIONS INC.,,9,0,0%,Industrials,Texas,THE WOODLANDS
NexPoint Residential Trust Inc.,,5,0,0%,,,DALLAS
NEXSTAR MEDIA GROUP INC.,,9,1,11%,,,IRVING
NEXTERA ENERGY INC,,12,3,25%,Utilities,Florida,JUNO BEACH
NGL Energy Partners LP,,10,0,0%,Energy,Oklahoma,Tulsa
NIC INC,,9,2,22%,,,OLATHE
NICOLET BANKSHARES INC,,15,1,7%,,,GREEN BAY
Nielsen Holdings plc,,9,2,22%,Industrials,New York,OXFORD
NII Holdings Inc.,,7,0,0%,Communication Services,Virginia,Reston
NIKE INC,,12,3,25%,Consumer Cyclical,Oregon,BEAVERTON
NISOURCE INC/DE,,10,2,20%,Utilities,Indiana,MERRILLVILLE
NL INDUSTRIES INC,,6,1,17%,,,DALLAS
NLV Financial Corporation,,10,3,30%,Financial Services,Vermont,Montpelier
NMI Holdings Inc.,,7,1,14%,,,EMERYVILLE
NN INC,,7,1,14%,,,JOHNSON CITY
Noble Corp plc,,8,2,25%,,,LONDON
NOBLE ENERGY INC,,10,1,10%,Energy,Texas,HOUSTON
Noblis,,9,4,44%,Industrials,Virginia,Falls Church
NOODLES & Co,,7,0,0%,,,BROOMFIELD
NORDIC AMERICAN TANKERS LTD,,5,0,0%,,,HAMILTON
NORDSON CORP,,9,1,11%,Industrials,Ohio,WESTLAKE
NORDSTROM INC,,12,3,25%,Consumer Cyclical,Washington,SEATTLE
NORFOLK SOUTHERN CORP,,13,2,15%,Industrials,Virginia,NORFOLK
Nortek Inc.,,10,0,0%,Basic Materials,Rhode Island,Providence
NORTHEAST BANCORP /ME/,,7,2,29%,,,LEWISTON
NORTHERN TRUST CORP,,13,2,15%,Financial Services,Illinois,CHICAGO
Northfield Bancorp Inc.,,10,2,20%,,,WOODBRIDGE
NORTHRIM BANCORP INC,,11,2,18%,,,ANCHORAGE
NORTHROP GRUMMAN CORP /DE/,,13,3,23%,Industrials,Virginia,FALLS CHURCH
NORTHSTAR REALTY EUROPE CORP.,,7,2,29%,,,NEW YORK
Northwest Bancshares Inc.,,10,2,20%,Financial Services,Pennsylvania,WARREN
NORTHWEST NATURAL GAS CO,,10,3,30%,,,PORTLAND
NORTHWEST PIPE CO,,6,1,17%,,,VANCOUVER
NORTHWESTERN CORP,,9,3,33%,Utilities,South Dakota,SIOUX FALLS
Northwestern Mutual Life Insurance Company Inc,,15,2,13%,Financial Services,Wisconsin,Milwaukee
Norwegian Cruise Line Holdings Ltd.,,9,1,11%,Consumer Cyclical,Florida,MIAMI
NORWOOD FINANCIAL CORP,,8,1,13%,Financial Services,Pennsylvania,HONESDALE
NOVANTA INC,,7,0,0%,Technology,Massachusetts,BEDFORD
Novation Companies Inc,,5,0,0%,Real Estate,Missouri,Kansas City
NOVAVAX INC,,7,1,14%,Healthcare,Maryland,GAITHERSBURG
NOVELION THERAPEUTICS INC.,,9,1,11%,,,VANCOUVER
Novocure Ltd,,10,0,0%,,,SAINT HELIER
NOW Inc.,,9,1,11%,Energy,Texas,HOUSTON
NRG ENERGY INC.,,13,1,8%,Utilities,New Jersey,PRINCETON
NRG Yield Inc.,,7,1,14%,,,PRINCETON
NU SKIN ENTERPRISES INC,,9,1,11%,Consumer Defensive,Utah,PROVO
Nuance Communications Inc.,,7,1,14%,Technology,Massachusetts,BURLINGTON
NUCOR CORP,,8,2,25%,Basic Materials,North Carolina,CHARLOTTE
NuStar Energy L.P.,,6,0,0%,Energy,Texas,San Antonio
Nutanix Inc.,,7,0,0%,,,SAN JOSE
NUTRACEUTICAL INTERNATIONAL CORP,,6,0,0%,,,PARK CITY
NUTRI SYSTEM INC /DE/,,8,2,25%,,,FORT WASHINGTON
NUVASIVE INC,,10,2,20%,Healthcare,California,SAN DIEGO
NV5 Global Inc.,,7,0,0%,,,HOLLYWOOD
NVE CORP /NEW/,,5,1,20%,,,EDEN PRAIRIE
NVIDIA CORP,,12,2,17%,Technology,California,SANTA CLARA
NVR INC,,13,1,8%,Consumer Cyclical,Virginia,RESTON
NxStage Medical Inc.,,9,2,22%,Healthcare,Massachusetts,LAWRENCE
O REILLY AUTOMOTIVE INC,,9,1,11%,Consumer Cyclical,Missouri,SPRINGFIELD
Oaktree Capital Group LLC,,13,1,8%,Financial Services,California,Los Angeles
Oasis Petroleum Inc.,,8,0,0%,,,HOUSTON
OBALON THERAPEUTICS INC,,8,2,25%,,,CARLSBAD
OCCIDENTAL PETROLEUM CORP /DE/,,11,3,27%,Energy,Texas,HOUSTON
OCEANEERING INTERNATIONAL INC,,7,0,0%,Energy,Texas,HOUSTON
OCEANFIRST FINANCIAL CORP,,12,2,17%,,,TOMS RIVER
OCLARO INC.,,7,2,29%,,,SAN JOSE
OCULAR THERAPEUTIX INC,,8,0,0%,,,BEDFORD
OCWEN FINANCIAL CORP,,8,2,25%,Financial Services,Florida,WEST PALM BEACH
OFFICE DEPOT INC,,8,3,38%,Consumer Cyclical,Florida,BOCA RATON
OFG BANCORP,,8,0,0%,,,SAN JUAN
OGE ENERGY CORP.,,9,2,22%,Utilities,Oklahoma,OKLAHOMA CITY
OHIO VALLEY BANC CORP,,10,2,20%,,,GALLIPOLIS
OIL DRI CORP OF AMERICA,,9,0,0%,,,CHICAGO
OIL STATES INTERNATIONAL INC,,8,1,13%,Energy,Texas,HOUSTON
Okta Inc.,,7,1,14%,,,SAN FRANCISCO
OLD DOMINION FREIGHT LINE INC/VA,,9,0,0%,Industrials,North Carolina,THOMASVILLE
OLD LINE BANCSHARES INC,,14,2,14%,Financial Services,Maryland,BOWIE
