Company, Country, Sector, Climate score, Water Score, Timber score, Palm oil score, Cattle production score, Soy score
Skechers U.S.A. Inc,USA,Consumer Discretionary,Not requested,Not requested,Not scored,Not scored,Not scored,Not scored
Skywest Inc,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Skyworks Solutions, Inc.",USA,Information Technology,F,F,Not requested,Not requested,Not requested,Not requested
SL Green Realty Corp.,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
SM Energy Co.,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Smithfield Foods, Inc.",USA,Consumer Staples,C,Not requested,C,*,*,*
Snap-On Inc,USA,Industrials,D,F,Not requested,Not requested,Not requested,Not requested
Snyder's-Lance Inc,USA,Consumer Staples,Not requested,Not requested,Not scored,Not scored,Not scored,Not scored
SolarCity Corp,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Sonic Corp,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Sonoco Products Company,USA,Materials,C,Not requested,F,F,F,F
Southern Company Gas,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
Southwest Airlines Co.,USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Southwestern Energy,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
SpartanNash Co,USA,Consumer Staples,Not requested,Not requested,F,F,F,F
Spectra Energy Corp,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
Spectrum Brands Inc.,USA,Consumer Staples,Not scored,Not requested,Not scored,Not scored,Not scored,Not scored
Splunk Inc,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Sprint Corporation,USA,Telecommunication Services,B,B,Not requested,Not requested,Not requested,Not requested
Sprouts Farmers Market Inc,USA,Consumer Staples,Not requested,Not requested,F,F,F,F
SPX Corp,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
St. Joe Co.,USA,Financials,Not requested,Not requested,F,F,F,F
"St. Jude Medical, Inc.",USA,Health Care,Not scored,F,Not requested,Not requested,Not requested,Not requested
"Stanley Black & Decker, Inc.",USA,Industrials,A-,A-,Not requested,Not requested,Not requested,Not requested
"Staples, Inc.",USA,Consumer Discretionary,C,Not scored,Not scored,Not scored,Not scored,Not scored
Starbucks Corporation,USA,Consumer Discretionary,B,B,C,C,C,C
"Starwood Hotels & Resorts Worldwide, Inc",USA,Consumer Discretionary,Not scored,Not scored,Not requested,Not requested,Not requested,Not requested
State Street Corporation,USA,Financials,B,Not requested,Not requested,Not requested,Not requested,Not requested
Steel Dynamics Inc.,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Steelcase,USA,Industrials,B-,Not requested,Not requested,Not requested,Not requested,Not requested
Stericycle Inc.,USA,Industrials,F,F,Not requested,Not requested,Not requested,Not requested
Steven Madden Ltd,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Stryker Corporation,USA,Health Care,C,F,Not requested,Not requested,Not requested,Not requested
SunCoke Energy Inc,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
SunEdison,USA,Information Technology,D,Not requested,Not requested,Not requested,Not requested,Not requested
"Sunoco, Inc.",USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
"SunTrust Banks, Inc.",USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Superior Energy Services, Inc.",USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
SUPERVALU INC.,USA,Consumer Staples,F,Not requested,F,F,F,F
Swift Energy Co.,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
SWM,USA,Materials,Not requested,Not requested,Not scored,Not scored,Not scored,Not scored
Symantec Corporation,USA,Information Technology,A-,B,Not requested,Not requested,Not requested,Not requested
Synchrony Financial,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Synopsys, Inc.",USA,Information Technology,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Sysco Corporation,USA,Consumer Staples,C,B,F,F,F,F
T Mobile USA inc,USA,Telecommunication Services,C,Not requested,Not requested,Not requested,Not requested,Not requested
"T. Rowe Price Associates, Inc.",USA,Financials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Tableau Software Inc,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Tahoe Resources Inc.,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Talen Energy Corp,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
