,Company,2020 Rating,Total Board,# of women,% of Women,Sector,State,City,Company_clean
0,3M CO,,11,2,18%,Industrials,Minnesota,ST. PAUL ,3m
1,ABBOTT LABORATORIES,,12,4,33%,Healthcare,Illinois,ABBOTT PARK ,abbott laboratories
2,ADOBE SYSTEMS INC,,10,2,20%,Technology,California,SAN JOSE ,adobe systems
3,AFLAC INC,,14,3,21%,Financial Services,Georgia,COLUMBUS ,aflac
4,AIR PRODUCTS & CHEMICALS INC /DE/,,8,2,25%,Basic Materials,Pennsylvania,ALLENTOWN ,air products  chemicals
5,ALEXION PHARMACEUTICALS INC,,10,2,20%,Healthcare,Connecticut,NEW HAVEN ,alexion pharmaceuticals
6,Allergan plc,,12,3,25%,Healthcare,New Jersey,DUBLIN ,allergan plc
7,Allstate Corporation,,11,3,27%,Financial Services,Illinois,NORTHBROOK ,allstate
8,ALTRIA GROUP INC.,,11,3,27%,Consumer Defensive,Virginia,RICHMOND ,altria group
9,Amazon.com Inc.,,10,3,30%,Consumer Cyclical,Washington,SEATTLE ,amazoncom
10,AMBAC FINANCIAL GROUP INC,,6,0,0%,Financial Services,New York,NEW YORK ,ambac financial group
11,AMBARELLA INC,,6,0,0%,Technology,California,SANTA CLARA ,ambarella
12,Amber Road Inc.,,6,1,17%,,,EAST RUTHERFORD ,amber road
13,AMC ENTERTAINMENT HOLDINGS INC.,,9,1,11%,Consumer Cyclical,Kansas,LEAWOOD ,amc entertainment holdings
14,AMC Networks Inc.,,14,2,14%,Consumer Cyclical,New York,NEW YORK ,amc networks
15,AMDOCS LTD,,11,0,0%,Technology,Missouri,ST. PETER PORT ,amdocs
16,AMEDISYS INC,,9,2,22%,Healthcare,Louisiana,BATON ROUGE ,amedisys
17,AMERCO /NV/,,8,0,0%,Industrials,Nevada,RENO ,amerco nv
18,AMEREN CORP,,11,3,27%,Utilities,Missouri,ST. LOUIS ,ameren
19,Ameresco Inc.,,8,1,13%,Industrials,Massachusetts,FRAMINGHAM ,ameresco
20,American Airlines Group Inc.,,13,2,15%,Industrials,Texas,FORT WORTH ,american airlines group
21,American Assets Trust Inc.,,5,0,0%,Real Estate,California,SAN DIEGO ,american assets trust
22,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,,8,1,13%,Consumer Cyclical,Michigan,DETROIT ,american axle  manufacturing holdings
23,AMERICAN CAMPUS COMMUNITIES INC,,8,1,13%,,,AUSTIN ,american campusmmunities
24,American Capital Ltd.,,10,3,30%,Financial Services,Maryland,Bethesda ,american capital
25,AMERICAN EAGLE OUTFITTERS INC,,6,1,17%,Consumer Cyclical,Pennsylvania,PITTSBURGH ,american eagle outfitters
26,AMERICAN ELECTRIC POWER CO INC,,12,3,25%,Utilities,Ohio,COLUMBUS ,american electric power
27,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,,12,3,25%,Financial Services,Iowa,WEST DES MOINES ,american equity investment life holding
28,AMERICAN EXPRESS CO,,14,3,21%,Financial Services,New York,NEW YORK ,american express
29,American Family Mutual Insurance Company,,14,4,29%,Financial Services,Wisconsin,Madison ,american family mutual insurancempany
30,AMERICAN FINANCIAL GROUP INC,,11,1,9%,Financial Services,Ohio,CINCINNATI ,american financial group
31,American Homes 4 Rent,,9,1,11%,,,AGOURA HILLS ,american homes 4 rent
32,AMERICAN INTERNATIONAL GROUP INC,,13,3,23%,Financial Services,New York,NEW YORK ,american international group
33,AMERICAN NATIONAL BANKSHARES INC,,13,1,8%,Financial Services,Virginia,DANVILLE ,american national bankshares
34,AMERICAN NATIONAL INSURANCE CO /TX/,,8,1,13%,Financial Services,Texas,GALVESTON ,american national insurance tx
