,3M CO,MMM,Medical Equipment Manufacturing,31-Dec-16,Climate Risk,S&P 500,View Report
Add,ABBOTT LABORATORIES,ABT,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,View Report
Add,ABBVIE INC.,ABBV,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,ACCENTURE PLC,ACN,Services - Business-Related,31-Aug-17,Climate Risk,S&P 500,View Report
Add,"ACTIVISION BLIZZARD, INC.",ATVI,Information Technology,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,ACUITY BRANDS INC,AYI,Electronics,31-Aug-17,Climate Risk,S&P 500,View Report
Add,ADOBE SYSTEMS INC,ADBE,Information Technology,2-Dec-16,Climate Risk,S&P 500,View Report
Add,ADVANCE AUTO PARTS INC,AAP,Retail,31-Dec-16,Climate Risk,S&P 500,View Report
Add,ADVANCED MICRO DEVICES INC,AMD,Electronics,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,AES CORP,AES,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,AETNA INC /PA/,AET,Insurance Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,"AFFILIATED MANAGERS GROUP, INC.",AMG,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,AFLAC INC,AFL,Insurance Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,AKAMAI TECHNOLOGIES INC,AKAM,Services - Business-Related,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"ALASKA AIR GROUP, INC.",ALK,Transportation,31-Dec-16,Climate Risk,S&P 500,View Report
Add,ALBEMARLE CORP,ALB,Chemicals,31-Dec-16,Climate Risk,S&P 500,View Report
Add,ALEXANDRIA REAL ESTATE EQUITIES INC,ARE,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,ALEXION PHARMACEUTICALS INC,ALXN,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,No disclosure
